result_state	definition	evidence_requirements	exclusion_criteria	user_facing_interpretation	limitations	retained
SUPPORTED_SEROVAR_ASSOCIATED_ARCHITECTURE	Query shows coherent match to one Howell canonical architecture with supportive sequence/order/adjacency and no strong competitor	species_ok;locus_detected;content_strong;sequence_supportive;order_or_adjacency_supportive;competitor_not_strong;locus_completeness_adequate	strong_competing_architecture;assembly_limited_absence;special_case_5_12_only	Genomic capsule architecture is consistent with the named Howell serovar-associated reference architecture	Not a validated phenotypic serovar call; does not override serology	YES
SEROVAR_5_OR_12	Architecture/target evidence supports the shared Howell 5/12 special-case architecture	match_to_5_and_or_12_reference_architecture;no_validated_5_vs_12_discriminator	claiming_exact_5_or_exact_12_without_validated_discriminator	Genomic capsule architecture is consistent with serovar 5 or 12 (not distinguished)	Cannot separate 5 from 12 with current Howell architecture evidence	YES
AMBIGUOUS_ARCHITECTURE	Two or more Howell architectures have similar support and evidence does not justify a single association	competing_architectures_within_indistinguishable_support_band;or_diagnostic_region_conflicts_with_architecture	forcing_a_single_serovar_number	More than one serovar-associated architecture remains plausible	May include biologically real shared modules (e.g. 8/10)	YES
ATYPICAL_CAPSULE_PROFILE	Sufficient sequence exists to interpret the locus, but architecture shows substantial non-reference gene loss/gain, mixed modules, or recurrent alternative pattern that is not assembly-explained	locus_completeness_adequate;not_explained_by_contig_edge_alone;substantial_deviation_from_all_15_or_mixed_signature	mere_imperfect_match;novel_serovar_claim	Capsule locus observed but does not fit a single canonical Howell architecture cleanly	Not a novel serovar designation	YES
INSUFFICIENT_CAPSULE_SEQUENCE	Capsule-associated evidence is too incomplete to support architecture interpretation	missing_locus_boundaries_or_too_few_recoverable_components	treating_missing_hits_as_biological_absence	Not enough capsule-locus sequence to interpret architecture	Re-assembly or better sequencing may resolve	YES
ASSEMBLY_LIMITED	Apparent absences or locus splits are best explained by contig fragmentation / contig-edge effects	contig_edge_or_multi_contig_split_of_expected_neighbors;otherwise_supportive_content	calling_genes_absent_without_edge_assessment	Assembly quality limits capsule-architecture interpretation	Not proof of biological gene absence	YES
CONFLICTING_GENOMIC_EVIDENCE	Internal genomic evidence streams conflict (e.g. diagnostic region vs multi-gene architecture) without a conservative single interpretation	documented_internal_conflict_among_evidence_objects	resolving_by_hidden_ground_truth_labels	Genomic capsule evidence is internally conflicting	Distinct from historical label conflict metadata	YES
NO_RECOGNIZED_CAPSULE_ARCHITECTURE	Species confirmed but no recognizable Howell capsule architecture recovered	species_ok;no_meaningful_howell_component_recovery	none	No recognized Howell capsule architecture detected	Could be true absence, extreme divergence, or technical failure	YES
MIXED_ARCHITECTURE	DEPRECATED_AS_PRIMARY_STATE — fold into ATYPICAL_CAPSULE_PROFILE or AMBIGUOUS_ARCHITECTURE	n/a	prefer_smaller_vocabulary	Use atypical or ambiguous instead	Collapsed to avoid opaque synonymy	NO
SUPPORTED_CAPSULE_ARCHITECTURE	DEPRECATED_AS_PRIMARY_STATE — prefer SUPPORTED_SEROVAR_ASSOCIATED_ARCHITECTURE for clarity	n/a	vocabulary_minimization	Use supported serovar-associated architecture	Synonym avoided	NO
